DATE,MEXCPIALLAINMEI
1969-01-01,0.0134550551729285
1970-01-01,0.014128264986055
1971-01-01,0.01490094277057
1972-01-01,0.0156375989442521
1973-01-01,0.0175269249917688
1974-01-01,0.0216955332601981
1975-01-01,0.0249378279147518
1976-01-01,0.0288841692807531
1977-01-01,0.0372791007732057
1978-01-01,0.0437870235047799
1979-01-01,0.0517524306077583
1980-01-01,0.0653900485324021
1981-01-01,0.0836559484615524
1982-01-01,0.132940534763114
1983-01-01,0.268373610045745
1984-01-01,0.444020948971999
1985-01-01,0.700436146659168
1986-01-01,1.30444541265912
1987-01-01,3.02406185159366
1988-01-01,6.47639885343332
1989-01-01,7.77218886572005
1990-01-01,9.84360727561281
1991-01-01,12.074401513007
1992-01-01,13.9468874894007
1993-01-01,15.3069126960393
1994-01-01,16.3731636497163
1995-01-01,22.1036503061643
1996-01-01,29.7025281470157
1997-01-01,35.8288609925624
1998-01-01,41.5358225505686
1999-01-01,48.4247959127387
2000-01-01,53.0210644364669
2001-01-01,56.3973062071679
2002-01-01,59.2345038390635
2003-01-01,61.9278362753111
2004-01-01,64.8312653763974
2005-01-01,67.4167756152506
2006-01-01,69.8636426941988
2007-01-01,72.6350283453012
2008-01-01,76.3575602500748
2009-01-01,80.40249290964
2010-01-01,83.7446057141984
2011-01-01,86.5981023394006
2012-01-01,90.15859071739
2013-01-01,93.590378139407
2014-01-01,97.3514171746498
2015-01-01,100.0
2016-01-01,102.821707751697
2017-01-01,109.033635802006
2018-01-01,114.375576289599
2019-01-01,118.534227880684
2020-01-01,122.56063901953
2021-01-01,129.533369283896
